Code	Name	Purchase Price	Tax	Retail Price	Category Code
A249	Bóng h?u ( 1 qu?)	0	0	30000	20
A250	Bóng h?u ( 1 qu?)	0	0	30000	21
A251	Bóng h?u ( 1 qu?)	0	0	30000	22
A252	Bóng h?u ( 1 qu?)	0	0	30000	27
A253	Bóng h?u ( 1 qu?)	0	0	30000	28
A254	Bóng h?u ( 1 qu?)	0	0	30000	32
A255	Bóng h?u ( 1 qu?)	0	0	30000	35
A256	Bóng h?u ( 1 qu?)	0	0	30000	37
A257	D?u phanh	0	0	30000	38
A258	Rà vét mi?ng CE	0	0	40000	1
A259	Bóng h?u	0	0	40000	4
A260	Bóng h?u	0	0	40000	5
A261	Bóng ?èn pha	0	0	40000	5
A262	Bóng h?u	0	0	40000	6
A263	Bóng h?u	0	0	40000	8
A264	Bóng h?u	0	0	40000	9
A265	Bóng h?u	0	0	40000	11
A266	Bóng h?u	0	0	40000	12
A267	Mài cam cò	0	0	40000	13
A268	Bóng h?u	0	0	40000	13
A269	Bóng h?u	0	0	40000	14
A270	Bóng h?u	0	0	40000	17
A271	Bóng h?u	0	0	40000	30
A272	Bóng h?u	0	0	40000	31
A273	Bóng h?u	0	0	40000	36
A274	Bóng h?u	0	0	40000	38
A275	L?c gió	0	0	45000	4
A276	Bi nhông   	0	0	45000	4
A277	L?c gió	0	0	45000	5
A278	?ui ?èn	0	0	45000	5
A279	Bi nhông   	0	0	45000	5
A280	Bi nhông   	0	0	45000	6
A281	L?c gió	0	0	45000	11
A282	Bi nhông   	0	0	45000	11
A283	L?c gió	0	0	45000	12
A284	Bi nhông   	0	0	45000	12
A285	L?c gió	0	0	45000	13
A286	Bi nhông   	0	0	45000	13
A287	L?c d?u nh?	0	0	45000	19
A288	C?n bánh tr??c	0	0	45000	19
A289	Bi 203 ( vòng)	0	0	45000	19
A290	Bóng xin nhan	0	0	45000	29
A291	Bi nhông   	0	0	45000	38
A292	Công t?c ??	0	0	50000	1
A293	Công t?c Còi	0	0	50000	1
A294	Công t?c Còi	0	0	50000	2
A295	Công t?c Còi	0	0	50000	10
A296	Công t?c Còi	0	0	50000	15
A297	Công t?c Còi	0	0	50000	18
A298	Ép vành nan	0	0	50000	19
A299	Công t?c Còi	0	0	50000	20
A300	Công t?c Còi	0	0	50000	21
A301	Công t?c Còi	0	0	50000	22
A302	Công t?c Còi	0	0	50000	27
A303	Công t?c Còi	0	0	50000	28
A304	Công t?c Còi	0	0	50000	32
A305	Công t?c ??	0	0	50000	35
A306	Công t?c Còi	0	0	50000	35
A307	Công t?c Còi	0	0	50000	37
A308	Dây Ga	0	0	55000	4
A309	Dây công t? mét	0	0	55000	4
A310	Dây Ga	0	0	55000	5
A311	Dây công t? mét	0	0	55000	5
A312	Dây Ga	0	0	55000	6
A313	Dây công t? mét	0	0	55000	6
A314	Bi nhông   	0	0	55000	8
A315	Bi nhông   	0	0	55000	14
A316	Bi nhông   	0	0	55000	17
A317	Buzzi CN	0	0	55000	19
A318	Bi 6004 ( vòng)	0	0	55000	19
A319	Bi nhông   	0	0	55000	30
A320	Bi nhông   	0	0	55000	31
A321	Bi nhông   	0	0	55000	36
A322	Bóng ?èn pha	0	0	60000	4
A323	Ph?t nhông	0	0	60000	9
A324	Bóng ?èn pha	0	0	60000	11
A325	Bóng ?èn pha	0	0	60000	12
A326	Bóng ?èn pha	0	0	60000	14
A327	Bóng xin nhan	0	0	60000	25
A328	Bóng ?èn pha	0	0	60000	30
A329	Má c?	0	0	65000	4
A330	Dây phanh	0	0	65000	4
A331	Má ??a	0	0	65000	5
A332	Má c?	0	0	65000	5
A333	Dây phanh	0	0	65000	5
A334	Bi ?? Wase	 Dream	0	65000	5
A335	Má c?	0	0	65000	6
A336	Gi?m gi?t bánh sau	0	0	65000	6
A337	Má c?	0	0	65000	11
A338	Dây phanh	0	0	65000	11
A339	Dây Ga	0	0	65000	11
A340	Dây công t? mét	0	0	65000	11
