Code,Name,Purchase Price,Tax,Retail Price,Category Code
A316,Bi nhìng   ,0,0,55000,17
A317,Buzzi CN,0,0,55000,19
A318,Bi 6004 ( vïng),0,0,55000,19
A319,Bi nhìng   ,0,0,55000,30
A320,Bi nhìng   ,0,0,55000,31
A321,Bi nhìng   ,0,0,55000,36
A322,B¢ng ?än pha,0,0,60000,4
A323,Ph?t nhìng,0,0,60000,9
A324,B¢ng ?än pha,0,0,60000,11
A325,B¢ng ?än pha,0,0,60000,12
A326,B¢ng ?än pha,0,0,60000,14
A327,B¢ng xin nhan,0,0,60000,25
A328,B¢ng ?än pha,0,0,60000,30
A329,M† c?,0,0,65000,4
A330,DÉy phanh,0,0,65000,4
A331,M† ??a,0,0,65000,5
A332,M† c?,0,0,65000,5
A333,DÉy phanh,0,0,65000,5
A334,Bi ?? Wase Dream,0,0,65000,5
A335,M† c?,0,0,65000,6
A336,Gi?m gi?t b†nh sau,0,0,65000,6
A337,M† c?,0,0,65000,11
A338,DÉy phanh,0,0,65000,11
A339,DÉy Ga,0,0,65000,11
A340,DÉy cìng t? mÇt,0,0,65000,11
A341,M† c?,0,0,65000,12
A342,DÉy phanh,0,0,65000,12
A343,DÉy Ga,0,0,65000,12
A344,DÉy cìng t? mÇt,0,0,65000,12
A345,M† c?,0,0,65000,13
A346,DÉy phanh,0,0,65000,13
A347,DÉy Ga,0,0,65000,13
A348,DÉy cìng t? mÇt,0,0,65000,13
A349,M† c?,0,0,65000,14
A350,DÉy phanh,0,0,65000,14
A351,DÉy Ga,0,0,65000,14
A352,DÉy cìng t? mÇt,0,0,65000,14
A353,DÉy phanh,0,0,65000,17
A354,DÉy Ga,0,0,65000,17
A355,DÉy cìng t? mÇt,0,0,65000,17
A356,S?m 225/250-17,0,0,65000,19
A357,DÉy phanh,0,0,65000,30
A358,DÉy Ga,0,0,65000,30
A359,DÉy cìng t? mÇt,0,0,65000,30
A360,DÉy cìng t? mÇt,0,0,65000,31
A361,M† c?,0,0,65000,38
A362,DÉy phanh,0,0,65000,38
A363,DÉy Ga,0,0,65000,38
A364,DÉy cìng t? mÇt,0,0,65000,38
A365,B†nh t? trung gian,0,0,70000,13
A366,B¢ng h?u ( 1 qu?),0,0,70000,29
A367,Gi?m gi?t b†nh sau,0,0,75000,4
A368,Tay phanh ,0,0,75000,5
A369,Gi?m gi?t b†nh sau,0,0,75000,5
A370,?? chÉn tr??c,0,0,75000,5
A371,Ch?i Than,0,0,75000,5
A372,B†t bi ??,0,0,75000,5
A373,DÉy cìng t? mÇt,0,0,75000,8
A374,DÉy cìng t? mÇt,0,0,75000,9
A375,Gi?m gi?t b†nh sau,0,0,75000,11
A376,Gi?m gi?t b†nh sau,0,0,75000,12
A377,Gi?m gi?t b†nh sau,0,0,75000,13
A378,Gi?m gi?t b†nh sau,0,0,75000,13
A379,M† ??a,0,0,75000,17
A380,Tay phanh,0,0,75000,30
A381,M† ??a,0,0,75000,30
A382,M† ??a,0,0,75000,31
A383,DÉy cìng t? mÇt,0,0,75000,36
A384,Gi?m gi?t b†nh sau,0,0,75000,38
A385,Cìng t?c Phanh tay,0,0,80000,1
A386,Cìng t?c Pha c?t,0,0,80000,1
A387,Cìng t?c ?än,0,0,80000,1
A388,Cìng t?c Phanh tay,0,0,80000,2
A389,Cìng t?c Pha c?t,0,0,80000,2
A390,Bi banh   ,0,0,80000,4
A391,Bi banh   ,0,0,80000,5
A392,Bi banh   ,0,0,80000,6
A393,Bi banh   ,0,0,80000,8
A394,Bi nhìng 6004 ,0,0,80000,9
A395,Bi banh   ,0,0,80000,9
A396,Cìng t?c Phanh tay,0,0,80000,10
A397,Cìng t?c Pha c?t,0,0,80000,10
A398,Bi banh   ,0,0,80000,11
A399,Bi banh   ,0,0,80000,12
A400,Phot git,0,0,80000,13
A401,Bi banh   ,0,0,80000,13
A402,Bi banh   ,0,0,80000,14
A403,Cìng t?c Phanh tay,0,0,80000,15
A404,Cìng t?c Pha c?t,0,0,80000,15
A405,Bi banh   ,0,0,80000,17
A406,Cìng t?c Phanh tay,0,0,80000,18
A407,Cìng t?c Pha c?t,0,0,80000,18
A408,Cìng t?c ?än,0,0,80000,18
A409,S?m 275-17,0,0,80000,19
A410,S?m -14,0,0,80000,19
A411,êp bi?n,0,0,80000,19
A412,Cìng t?c Phanh tay,0,0,80000,20
A413,Cìng t?c Pha c?t,0,0,80000,20
A414,Cìng t?c Phanh tay,0,0,80000,21
A415,Cìng t?c Phanh ??a,0,0,80000,21
A416,Cìng t?c Pha c?t,0,0,80000,21
A417,Cìng t?c ??,0,0,80000,21
A418,Cìng t?c ?än,0,0,80000,21
A419,Cìng t?c Phanh tay,0,0,80000,22
A420,Cìng t?c Pha c?t,0,0,80000,22
