Code,Name,Purchase Price,Tax,Retail Price,Category Code
A222,Vá xe XS,0,0,15000,19
A223,Rửa xe,0,0,15000,19
A224,Bóng táp lô,0,0,15000,25
A225,Bóng táp lô,0,0,15000,29
A226,Bóng táp lô,0,0,15000,34
A227,Bóng xin nhan,0,0,25000,1
A228,Bóng xin nhan,0,0,25000,2
A229,Bóng xin nhan,0,0,25000,3
A230,Bóng xin nhan,0,0,25000,10
A231,Bóng xin nhan,0,0,25000,15
A232,Bóng xin nhan,0,0,25000,18
A233,Bóng xin nhan,0,0,25000,20
A234,Bóng xin nhan,0,0,25000,21
A235,Bóng xin nhan,0,0,25000,22
A236,Bóng xin nhan,0,0,25000,27
A237,Bóng xin nhan,0,0,25000,28
A238,Bóng xin nhan,0,0,25000,32
A239,Bóng xin nhan,0,0,25000,35
A240,Bóng xin nhan,0,0,25000,37
A241,Bóng hậu ( 1 quả),0,0,30000,1
A242,Bóng hậu ( 1 quả),0,0,30000,2
A243,Bóng hậu ( 1 quả),0,0,30000,3
A244,Bóng hậu ( 1 quả),0,0,30000,10
A245,Bóng hậu ( 1 quả),0,0,30000,15
A246,Bóng hậu ( 1 quả),0,0,30000,18
A247,Vá xe XG,0,0,30000,19
A248,Phớt bi bánh trước,0,0,30000,19
A249,Bóng hậu ( 1 quả),0,0,30000,20
A250,Bóng hậu ( 1 quả),0,0,30000,21
A251,Bóng hậu ( 1 quả),0,0,30000,22
A252,Bóng hậu ( 1 quả),0,0,30000,27
A253,Bóng hậu ( 1 quả),0,0,30000,28
A254,Bóng hậu ( 1 quả),0,0,30000,32
A255,Bóng hậu ( 1 quả),0,0,30000,35
A256,Bóng hậu ( 1 quả),0,0,30000,37
A257,Dầu phanh,0,0,30000,38
A258,Rà vét miệng CE,0,0,40000,1
A259,Bóng hậu,0,0,40000,4
A260,Bóng hậu,0,0,40000,5
A261,Bóng đèn pha,0,0,40000,5
A262,Bóng hậu,0,0,40000,6
A263,Bóng hậu,0,0,40000,8
A264,Bóng hậu,0,0,40000,9
A265,Bóng hậu,0,0,40000,11
A266,Bóng hậu,0,0,40000,12
A267,Mài cam cò,0,0,40000,13
A268,Bóng hậu,0,0,40000,13
A269,Bóng hậu,0,0,40000,14
A270,Bóng hậu,0,0,40000,17
A271,Bóng hậu,0,0,40000,30
A272,Bóng hậu,0,0,40000,31
A273,Bóng hậu,0,0,40000,36
A274,Bóng hậu,0,0,40000,38
A275,Lọc gió,0,0,45000,4
A276,Bi nhông   ,0,0,45000,4
A277,Lọc gió,0,0,45000,5
A278,Đui đèn,0,0,45000,5
A279,Bi nhông   ,0,0,45000,5
A280,Bi nhông   ,0,0,45000,6
A281,Lọc gió,0,0,45000,11
A282,Bi nhông   ,0,0,45000,11
A283,Lọc gió,0,0,45000,12
A284,Bi nhông   ,0,0,45000,12
A285,Lọc gió,0,0,45000,13
A286,Bi nhông   ,0,0,45000,13
A287,Lọc dầu nhỏ,0,0,45000,19
A288,Căn bánh trước,0,0,45000,19
